principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion
LOMITAPIDA,mg,10,CAPSULA DURA,SDTE,"Gastroenteritis; disminución del apetito; mareos, cefaleas, migrañas; diarrea...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LOPERAMIDA CLORHIDRATO,mg,2,COMPRIMIDO,SDTE/DMax 16MG/DIA,"Triada: Miosis (pupilas puntiformes), Depresión respiratoria, Coma hipoxia y ...",NALOXONA,SIN_DOSIS_TOXICA_ESPECIFICA
LOPINAVIR,mg,200,TABLETA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LORATADINA,mg,10,CADA TABLETA CONTIENE.,30-50MG/DIA,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
LORAZEPAM,mg,2,TABLETA,>100 MG,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,PENDIENTE_VALIDACION
LOSARTAN,mg,50,TABLETA RECUBIERTA,3.5MG/KG,"Anemia; mareos, vértigo; hipotensión; alteración renal, fallo renal; astenia,...","INOTROPICOS, SI HAY ALT DEL SNC NALOXONA",PENDIENTE_VALIDACION
LOVASTATINA,mg,20,TABLETA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LOXOPROFEN,mg,60,TABLETAS,SDTE,"Sarpullido, urticaria; somnolencia, dolor abdominal, náusea y vómito, cefalea...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LUBIPROSTONE,mcg,24,CAPSULA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LUMEFANTRINA,mg,120,TABLETA DISPERSABLE,>600 MG/KG/DIA,sintomas generales,MEDIDAS GENERALES,PENDIENTE_VALIDACION
LURASIDONA CLORHIDRATO,mg,80,TABLETA RECUBIERTA,SDTE HASTA 148 MG(EST. CLIN.),"Somnolencia, acatisia, hipersensibilidad, aumento de peso, insomnio, agitació...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MACITENTAN,mg,10,CADA TABLETA RECUBIERTA CONTIENE:,RAM >600 MG/DIA,"Nasofaringitis, bronquitis, faringitis, gripe, infección urinaria; cefalea; a...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
MARAVIROC,mg,300,TABLETA RECUBIERTA,SDTE,"Anemia; anorexia; depresión, insomnio; dolor abdominal, flatulencia, náuseas;...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MEBENDAZOL,mg,100,TABLETA,SDTE/DMax 600MG/DIA,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MEBEVERINA,mg,200,CAPSULA,SDTE/DMax 405MG/DIA,Reacciones de hipersensibilidad,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MECLIZINA,mg,25,CAPSULA BLANDA,SDTE,"Frecuentes: somnolencia, espesamiento de las secreciones bronquiales, mareo y...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MEDROXIPROGESTERONA,mg,5,TABLETA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MELATONINA,mg,2,COMPRIMIDOS DE LIBERACION PROLONGADA,>10-30MG/DIA,"dolor de cabeza, somnolencia, mareos y náuseas",MEDIDAS GENERALES,PENDIENTE_VALIDACION
MELFALAN,mg,2,TABLETA,RAM >150MCG/KG/DIA,"Leucemia aguda; depresión de la médula ósea derivando en leucopenia, tromboci...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
MELOXICAM,mg,15,TABLETA,SDTE/DMax 15MG/DIA,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MEMANTINA CLORHIDRATO,mg,10,TABLETA RECUBIERTA,SDTE,"Dolor de cabeza; somnolencia; estreñimiento; vértigo, alteración del equilibr...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MERCAPTOPURINA,mg,50,TABLETA,SDTE,"Mielodepresión: leucopenia y trombocitopenia,anemia; anorexia; nauseas, vómit...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MESALAZINA,mg,500,TABLETA DE LIBERACIÓN RETARDADA.,SDTE/RAM >4G/DIA,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METADONA CLORHIDRATO,mg,10,TABLETA,100MCG/KG,"Triada: Miosis (pupilas puntiformes), Depresión respiratoria, Coma hipoxia y ...",NALOXONA,PENDIENTE_VALIDACION
METADOXINA,mg,500,TABLETA,SDTE/DMax 1.5 G/DIA,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METFORMINA,mg,500-850-1000,TABLETA,85MG/KG,"Disgeusia; náuseas, vómitos, diarrea, dolor abdominal, pérdida de apetito.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
METILDOPA,mg,283,POR TABLETA,SDTE/DMax 3G/DIA,"Sedación, mareos, aturdimiento y síntomas de insuficiencia cerebrovascular, h...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METILFENIDATO CLORHIDRATO,mg,54,TABLETA DE LIBERACIÓN PROLONGADA,1MG/KG O >60MG,"Nasofaringitis, sinusitis ,infección de la parte alta del tracto respiratorio...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
METILPREDNISOLONA,mg,16,TABLETA RECUBIERTA,SDTE,"Obesidad troncal, cara de luna llena, aumento de glucemia, aumento de peso, d...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METILSULFONILMETANO (MSM),mg,250,TABLETA CON CUBIERTA ENTÉRICA,DL 20G/KG,sintomass generales,MEDIDAS GENERALES,PENDIENTE_VALIDACION
METIMAZOL,mg,5,TABLETA,SDTE,"Náuseas, vómitos, dolor epigástrico; erupción cutánea; urticaria, prurito, hi...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METISOPRINOL,mg,500,TABLETA,>4G/KG,Elevación del ácido úrico sérico y urinario. Las cifras se normalizan después...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
METOCARBAMOL,mg,400,TABLETA RECUBIERTA,SDTE/TOX MOD CON DT>20 G,"Leucopenia; bradicardia, rubor, hipotensión, síncope; diplopía, visión borros...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METOCLOPRAMIDA,mg,10,TABLETA,SDTE/RAM >2MG/KG/DIA,"somnolencia, desorientación, irritabilidad, agitación, ataxia, reacciones ext...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METOPROLOL,mg.,50,TABLETA,DOSIS MAX 450 MG/DIA-DT>900 MG,"Choque, Hipotensión, Bradicardia, Bloqueo AV, Broncoespasmo, Hipoglucemia, Co...",GLUCAGON,PENDIENTE_VALIDACION
METOTREXATO,mg,2.5,TABLETA,>20MG/SEMANAL,"Leucocitopenia, trombocitopenia, anemia; dolor de cabeza, fatiga, somnolencia...",LEUCOVORINA,PENDIENTE_VALIDACION
METOXALEM,mg,10,TABLETA RECUBIERTA,SDTE,"Reacciones fototóxicas, náuseas, vómitos, insuficiencia cardíaca congestiva e...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
METRONIDAZOL,mg,500,TABLETA,>6G/DIA,"Dolor epigástrico, náuseas, vómitos, diarrea, mucositis oral, trastorno del s...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
MEXAZOLAM,mg,1,COMPRIMIDOS,SDTE/DMax 3MG/DIA,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,SIN_DOSIS_TOXICA_ESPECIFICA
MICOFENOLATO DE MOFETILO,mg,250,CAPSULA DURA,SDTE/DMax 3G/DIA,"Sepsis, candidiasis gastrointestinal, infección del tracto urinario o respira...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MIDAZOLAM,mg,7.5,TABLETA RECUBIERTA,DT>35-50MG APROX,"HIPOTENSION, BRADIPNEA, HIPOTERMIA, COMA, CONVULSIONES, HIPOREFLEXIA, EXITABI...",FLUMAZENIL,PENDIENTE_VALIDACION
MIDODRINA CLORHIDRATO,mg,5,TABLETA RECUBIERTA,SDTE/DMax 40MG/DIA,"Epiloerección (piel de gallina), prurito del cuero cabelludo, prurito, escalo...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MIDOSTAURINA,mg,25,CAPSULA BLANDA,SDTE/DT PRESENTE EN >200MG/DIA,"Infección relacionada con un dispositivo, infección de vías respiratorias alt...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MIFEPRISTONA,mg,200,TABLETA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MIGALASTAT CLORHIDRATO,mg,150,POR CADA CAPSULA DURA,SDTE,"cefalea, proteinuria, bronquitis, faringitis, náuseas, fatiga, fiebre, y pare...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MILRINONA,mg,10,POR VIAL,SDTE,"Actividad ventricular ectópica, taquicardia ventricular (sostenida o no soste...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MILTEFOSINA,mg,50,CAPSULAS,>150MG/DIA,"Ampollas, despelleje, o sarpullido rojo en la piel. Cambio en la cantidad y f...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
MINOCICLINA,mg,100,CÁPSULA DURA,SDTE/DMax 200MG/DIA,Coloración permanente en dientes e inhibición de desarrollo óseo en niños; an...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MINOXIDIL,mg,10,TABLETA,SDTE/DMax 100MG/DIA,"Taquicardia, pericarditis, derrame pericárdico, taponamiento cardiaco; trasto...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MIRABEGRON,mg,50,TABLETA DE LIBERACION PROLONGADA,SDTE,Infección tracto urinario; taquicardia; náuseas; crisis hipertensiva; estreñi...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MIRTAZAPINA,mg,30,TABLETA RECUBIERTA,SDTE/DMax 45MG/DIA,"Aumento de peso; somnolencia, sedación, cefalea, letargia, mareo, temblor; bo...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MISOPROSTOL,mcg,200,TABLETA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MITOTANO,mg,500,TABLETA,SDTE/CONCEN TOX 20MG/L,"Leucopenia, aumento del tiempo de hemorragia, anemia, trombocitopenia; ataxia...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MODAFINIL,mg,100,CÁPSULABLANDA,SDTE/DMax 400MG/DIA,"Disminución del apetito; nerviosismo, insomnio, ansiedad, depresión, pensamie...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MOLIBDENO,mcg,51,CAPSULA,SDTE/ SOLO INTOX RESPIRATORIA,"dolor de cabeza, cansancio, pérdida del apetito, y dolores musculares y artic...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MOLNUPIRAVIR,mg,200,CAPSULA DURA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MOMETASONA,µg,160,CÁPSULA DURA,SDTE,"Faringitis, infección del tracto respiratorio superior; cefalea; epistaxis, a...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MONOACETATO DE L-LISINA,mg,105,TABLETA RECUBIERTA,11.4G/KG,"trastornos gastrointestinales como náuseas, diarrea y dolor abdominal, disfun...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
MONTELUKAST,mg,4,TABLETAS MASTICABLES,1 G-60MG/KG,"Infección respiratoria alta; cefalea; dolor abdominal, diarrea, náuseas, vómi...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
MOSAPRIDA CITRATO,mg.,10,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
MOXIFLOXACINA,mg,400,TABLETA RECUBIERTA,SDTE/DMax 800MG/DIA,Sobreinfecciones debidas a bacterias resistentes u hongos (candidiasis oral y...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
N-ACETILCISTEINA,mg,600,TABLETA EFERVESCENTE,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NAPROXENO,mg,500,TABLETA RECUBIERTA,> O = 35MG/KG,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION
NEBIVOLOL,mg,5,TABLETAS,"> O = 0,3MG/KG","Choque, Hipotensión, Bradicardia, Bloqueo AV, Broncoespasmo, Hipoglucemia, Co...",GLUCAGON,PENDIENTE_VALIDACION
NEOMICINA,mg,3.5,SUSPENSION,>12G/DIA,"náuseas, vómitos, diarrea, colitis y malabsorción. Ototoxicidad y nefrotoxici...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
NERATINIIB,mg,40,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NEVIRAPINA,mg,200,TABLETA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NICOTINAMIDA,mg,8189,CAPSULA DE GELATINA BLANDA,>500MG/DIA,NO DESCRITAS,MEDIDAS GENERALES,PENDIENTE_VALIDACION
NIFEDIPINO,mg,30,CAPSULA DE LIBERACION CONTROLADA,>120 MG,"Cefalea, HIPOTENSION, somnolencia, mareo, (inicio del tto.); debilidad; palp...",GLUCONATO DE CALCIO,PENDIENTE_VALIDACION
NIFUROXAZIDA,mg,200,CÁPSULA DURA,SDTE,Náuseas y eventualmente vómito; se presenta dosis-dependiente sobre todo cuan...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NILOTINIB,mg,200,CAPSULA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NIMESULIDA,mg,100,TABLETAS,RAM >200 MG/DIA,"Pirosis, náuseas, vómitos, diarrea y gastralgias leves y transitorias, sin qu...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
NIMODIPINO,mg,30,TABLETA RECUBIERTA,>60 MG,"Cefalea, HIPOTENSION, somnolencia, mareo, (inicio del tto.); debilidad; palp...",GLUCONATO DE CALCIO,PENDIENTE_VALIDACION
NINTEDANIB,mg,100,CAPSULA BLANDA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NIRAPARIB,mg,100,TABLETAS,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NISTATINA,UI,100,TABLETA,SDTE,"POCO FRECUENTES, SINTOMAS GENERALES",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NITAZOXANIDA,mg,500,TABLETA RECUBIERTA,SDTE,"Náusea, algunas veces acompañadas de cefalea, anorexia y ocasionalmente vómit...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NITISINONA,mg,5,CAPSULAS DURA,SDTE,Dolor ocular; concentraciones elevadas de tirosina. Además en TH-1: trombocit...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NITROFURANTOINA,mg,100,TABLETA,SDTE/DMax 400 MG /DIA,"Reacciones cutáneas alérgicas (prurito, urticaria), manifestaciones pseudo-lu...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NORETISTERONA ACETATO,mg,2,TABLETA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NORFLOXACINA,mg,400,TABLETA RECUBIERTA,SDTE/DMax 1200 MG/DIA,"Náuseas, anorexia, diarrea; cefalea; mareos; reacciones alérgicas (urticaria,...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
NORTRIPTILINA,,,,10-20 mg/Kg,"confusión, somnolencia, alucinaciones, convulsiones, taquicardia, hipotensión...",BICARBONATO DE SODIO,PENDIENTE_VALIDACION
OLANZAPINA,mg,10,TABLETA RECUBIERTA.,SDTE,"RIGIDEZ MUSCULAR, FIEBRE, DIAFORESIS, DISFAGIA, TEMBLOR, INCONTINENCIA, CONFU...",DANTROLENO,SIN_DOSIS_TOXICA_ESPECIFICA
OLAPARIB,mg,150,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
OLMESARTAN,mg,20,TABLETA RECUBIERTA,>1.5G/KG,"Anemia; mareos, vértigo; hipotensión; alteración renal, fallo renal; astenia, fatiga; hiperpotasemia, aumento de la urea sanguínea, de la creatinina y del potasio séricos; hipoglucemia.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
OMEPRAZOL,mg,40,CÁPSULA DURA,SDTE,"Cefalea; dolor abdominal, estreñimiento, diarrea, flatulencia, nauseas/vómitos; pólipos gástricos benignos.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ONDANSETRON,mg,4,TABLETA,RAM >16MG/DIA,SINTOMAS GENERALES,MEDIDAS GENERALES,PENDIENTE_VALIDACION
ORLISTAT,mg,120,CAPSULA DURA,SDTE/ DMax >360 MG /DIA,"Cefalea, infección de vías respiratoria y de vías urinarias, dolor/molestia abdominal o rectal, distensión abdominal, manchas oleosas procedentes del recto, flatulencia, flatulencia con descarga fecal, incontinencia fecal, urgencia fecal, heces grasas/oleosas, heces blandas o líquidas, evacuación oleosa, aumento de defecación, hipoglucemia, gripe, fatiga, irregularidad menstrual, ansiedad, alteración en dientes o encías.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
OSELTAMIVIR,mg,75,CAPSULA,>657MG/KG,sintomas generales,MEDIDAS GENERALES,PENDIENTE_VALIDACION
OSIMERTINIB,mg,40,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Shock anafiláctico Síntomas generales: ver apartado de sintomas generales Infecciones:Los medicamentos biológicos pueden aumentar el riesgo de infecciones debido a la supresión del sistema inmunológico. Síntomas gastrointestinales: Diarrea, Dolor abdominal, Colitis Síntomas neurológicos: Cefalea, Mareos, Convulsiones (en casos graves) Complicaciones hematológicas:Anemia, Trombocitopenia , Leucopenia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
OTILONIO,mg,40,TABLETARECUBIETA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
OXAPROZINA,mg,600,TABLETA RECUBIERTA,4.470 MG/KG,"Dispepsia, diarrea, náuseas, vómitos, dolor abdominal, erupción cutánea, fatiga o somnolencia, cefalea, mareo, vértigo, retención hídrica en hipertensos o con trastornos renales.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
OXCARBAZEPINA,mg,600,TABLETA RECUBIERTA,>40MG/KG,"Hiponatremia, confusión, depresión, apatía, agitación, labilidad afectiva, somnolencia, cefalea, mareo, ataxia, temblor, nistagmo, alteración de la atención, amnesia, diplopía, visión borrosa, alteraciones visuales, vértigo, náusea, vómito, diarrea, estreñimiento, dolor abdominal, exantema, alopecia, acné, fatiga, astenia.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
OXIBUTINA,mg,5,TABLETA,>520MG/KG,SINTOMAS GENERALES,MEDIDAS GENERALES,PENDIENTE_VALIDACION
OXICODONA CLORHIDRATO,mg,10,TABLETA DE LIBERACIÓN PROLONGADA,>100 MG,"Triada: Miosis (pupilas puntiformes), Depresión respiratoria, Coma hipoxia y acidosis respiratorias extremas; edema agudo de pulmón, hipotensión, bradicardia, bradipnea, nauseas, vomitos, ileo, hipotermina, hipoglicemia, retención urinaria, mioglobinuria Si es intox. por propoxifeno: Ensanchamiento del QRS, diferentes grados y tipos de bloqueos, fibrilación ventricular",NALOXONA,PENDIENTE_VALIDACION
OXIPURINA,mg,50,CAPSULA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PALBOCICLIB,mg,100,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Shock anafiláctico Síntomas generales: ver apartado de sintomas generales Infecciones:Los medicamentos biológicos pueden aumentar el riesgo de infecciones debido a la supresión del sistema inmunológico. Síntomas gastrointestinales: Diarrea, Dolor abdominal, Colitis Síntomas neurológicos: Cefalea, Mareos, Convulsiones (en casos graves) Complicaciones hematológicas:Anemia, Trombocitopenia , Leucopenia",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PALIPERIDONA,mg,1.8,TABLETA DE LIBERACION PROLONGADA,SDTE,"RIGIDEZ MUSCULAR, FIEBRE, DIAFORESIS, DISFAGIA, TEMBLOR, INCONTINENCIA, CONFUSION, COMA, TAQUICARDIA, HIPERTENSION, LEUCOCITOSIS, ELEVACION DE CPK",DANTROLENO,SIN_DOSIS_TOXICA_ESPECIFICA
PAMOATO DE OXANTEL,mg,280.74,TABLETA,>300MG/KG,"Anorexia, cólicos abdominales, náuseas, vómitos, diarrea, cefalea, mareos, somnolencia, insomnio, erupciones",MEDIDAS GENERALES,PENDIENTE_VALIDACION
PANCREATINA,mg,175,GRAGEA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PANTOPRAZOL,mg,40,TABLETA DE LIBERACION RETARDADA,SDTE,"Pólipos de las glándulas fúndicas (benignos); tromboflebitis en el lugar de la iny. Además: parestesia, hipocalcemia.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PANTOTENATO DE CALCIO,mg,17.5,CAPSULA DE GELATINA BLANDA,SDTE,"A dosis excesiva provoca una gran actividad en el intestino grueso causando irritación perianal, diarrea, dolor abdominal; la mucosa del intestino grueso puede ser decolorada con el uso prolongado a dosis alta del medicamento; erupción cutánea",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PARACETAMOL,mg,500,TABLETA RECUBIERTA,"6-7,5 g DIA DU","Fase 1 <24 horas : Anorexia, náusea, vómito, aumento de transaminasas Fase 2 24-72 horas: Dolor en hipocondrio derecho, hepatomegalia, deshidratación, oliguria; aumento pronunciado de transaminasas; aumento de bilirrubinas y tiempo de protrombina (PT) Fase 3 72-96 horas: Necrosis hepática, ictericia, coagulopatía, encefalopatía (confusión, somnolencia, coma), falla renal aguda y muerte Fase 4 96 horas – 14 días: Resolución de la disfunción hepática y daños hepáticos",N-ACETIL CISTEINA,PENDIENTE_VALIDACION
PARGEVERINA,mg,10,TABLETA RECUBIERTA,SDTE/DMax 40MG/DIA,Somnolencia; resequedad de boca y estreñimiento.,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PARICALCITOL,Ã¦g,1,CAPSULA,SDTE,"Por ambas vías: erupción cutánea; hipercalcemia. Por vía IV: trastornos paratiroideos; prurito; hiperfosfatemia; alteración del gusto; dolor de cabeza. Por vía oral: molestias estomacales, diarrea; reflujo gastroesofágico; disminución del apetito, hipocalcemia; mareo; dolor de mamas; acné.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PAROXETINA,mg,20,TABLETA RECUBIERTA,>850 MG,"NAUSEAS, VOMITOS, SEDACION, TEMBLOR, TAQUICARDIA, HIPERTENSION, - HIPOTENSION, CONVULSIONES, HIPERTERMIA, DIAFORESIS NISTAGMUS - HIPERTONIA, HIPERRREFLEXIA, - CLONUS",CIPROHEPTADINA,PENDIENTE_VALIDACION
PENTOSAN POLISULFATO DE SODIO,mg,100,CÁPSULA DURA,SDTE,Muy raros: hipersensibilidad.,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PENTOXIFILINA,mg,400,TABLETA RECUBIERTA DE LIBERACIÓN PROLONGADA,SDTE /DMax 1200 MG/DIA,"Sofocos, alteraciones gastrointestinales como opresión gástrica, sensación de plenitud, náuseas, vómitos o diarreas y ocasionalmente arritmias cardíacas.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PERINDOPRIL,mg,10,TABLETA,>10-12 MG/DIA,"Dolor de cabeza, mareo, vértigo, parestesia; alteraciones de la visión; tinnitus; hipotensión; tos, disnea; náuseas, vómitos, dolor abdominal, disgeusia, dispepsia, diarrea, estreñimiento; erupción, prurito; calambres musculares; astenia; empeoramiento de la psoriasis. Otras reacciones adversas identificadas después de la evaluación de los datos de farmacovigilancia: Secreción inadecuada de hormona antidiurética (SIADH), depresión, anuria/oliguria, sofocos.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
PICOSULFATO SODICO,mg,5,TABLETAS,>17G/KG,SINTOMAS GENERALES,MEDIDAS GENERALES,PENDIENTE_VALIDACION
PIDOTIMOD,mg,400,TABLETA,SDTE,"Diarrea, ataxia, disnea y cianosis",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PILOCARPINA CLORHIDRATO,mg,5,TABLETA RECUBIERTA,SDTE/DMax 20MG/DIA,"Cefalea, mareos; lagrimeo, visión borrosa, visión anormal, conjuntivitis, dolor ocular; rubor, HTA, palpitaciones; rinitis; dispepsia, diarrea, dolor abdominal, náuseas, vómitos, estreñimiento, aumento de la salivación; sudoración, reacciones alérgicas (incluido erupción, prurito); aumento de la frecuencia urinaria; síndrome gripal, astenia, escalofríos.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PINAVERIO,mg,100,1 TABLETA RECUBIERTA,SDTE,"Alteraciones gastrointestinales (dolor abdominal, diarrea, náuseas, vómitos y disfagia); efectos cutáneos (rash, prurito, urticaria y eritema); hipersensibilidad",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
PIRACETAM,mg,800,TABLETA RECUBIERTA,>10G/KG,"Hipercinesia, incremento de peso, nerviosismo.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
